ds,y
889,5038
890,3466
891,2833
892,5692
893,5031
894,5923
895,5502
896,5114
897,3562
898,3195
899,6067
900,5854
901,5940
902,6868
903,5982
904,4039
905,3236
906,5962
907,5625
908,5469
909,5945
910,5660
911,4334
912,3659
913,6441
914,5881
915,3187
916,6309
917,5645
918,4133
919,3483
920,6165
921,5961
922,5840
923,5632
924,5273
925,3289
926,2874
927,5809
928,5792
929,6006
930,5734
931,4612
932,3303
933,3065
934,5266
935,5674
936,5408
937,5635
938,5406
939,3325
940,3048
941,5710
942,5427
943,5354
944,5418
945,5195
946,3104
947,2921
948,5887
949,5830
950,5512
951,5114
952,5138
953,3142
954,3039
955,5716
956,5627
957,6004
958,5341
959,5105
960,3664
961,3211
962,5350
963,5571
964,5256
965,5078
966,4995
967,3652
968,3101
969,5327
970,5075
971,5438
972,5321
973,4309
974,3318
975,3111
976,3099
977,5373
978,5233
979,5415
980,4903
981,4146
982,3167
983,6121
984,5638
985,5446
986,5315
987,4877
988,3615
989,3195
990,5121
991,5990
992,5727
993,5063
994,5257
995,3484
996,3059
997,5475
998,5601
999,4941
1000,5482
1001,5579
1002,3378
1003,3056
1004,5204
1005,5046
1006,5597
1007,5416
1008,5029
1009,3222
1010,2857
1011,4293
1012,5565
1013,5594
1014,6089
1015,6462
1016,4784
1017,3034
1018,5841
1019,5635
1020,6041
1021,5237
1022,4602
1023,3407
1024,3005
1025,5422
1026,5329
1027,5346
1028,5247
1029,5041
1030,3766
1031,2229
1032,6190
1033,6141
1034,7017
1035,6130
1036,7222
1037,5275
1038,4227
1039,7274
1040,6903
1041,8584
1042,9387
1043,6420
1044,4204
1045,3360
1046,4757
1047,6110
1048,6304
1049,6324
1050,5796
1051,3939
1052,3908
1053,6914
1054,6058
1055,4656
1056,2565
1057,4080
1058,4163
1059,4054
1060,6774
1061,6868
1062,6558
1063,6469
1064,5705
1065,4595
1066,3125
1067,5788
1068,5571
1069,5865
1070,6283
1071,5631
1072,3560
1073,3354
1074,5702
1075,5764
1076,5965
1077,5778
1078,5225
1079,3712
1080,3329
1081,5824
1082,5481
1083,5752
1084,5426
1085,5855
1086,4322
1087,3320
1088,3956
1089,2498
1090,6260
1091,7573
1092,5934
1093,3890
1094,4096
1095,5025
1096,3343
1097,7055
1098,6683
1099,6063
1100,4067
1101,3392
1102,6080
1103,6251
1104,5824
1105,5708
1106,5336
1107,3527
1108,3080
1109,5378
1110,5809
1111,5609
1112,5177
1113,5961
1114,3789
1115,2584
1116,5122
1117,8094
1118,8297
1119,11698
1120,8145
1121,5506
1122,4685
1123,6885
1124,6243
1125,5945
1126,6945
1127,6563
1128,4720
1129,3898
1130,6417
1131,6491
1132,6100
1133,5999
1134,5259
1135,3693
1136,4127
1137,6213
1138,5803
1139,5901
1140,5445
1141,5137
1142,3552
1143,3708
1144,5350
1145,6240
1146,5749
1147,7179
1148,6009
1149,3809
1150,3519
1151,6089
1152,5644
1153,6612
1154,5592
1155,5038
1156,3592
1157,3408
1158,5975
1159,5995
1160,6533
1161,5865
1162,5085
1163,3571
1164,3147
1165,6076
1166,5892
1167,5756
1168,6069
1169,5423
1170,3632
1171,3359
1172,6381
1173,6373
1174,5836
1175,5385
1176,5642
1177,3765
1178,3139
1179,5406
1180,5458
1181,5577
1182,4965
1183,4455
1184,3185
1185,2758
1186,5661
1187,5868
1188,6048
1189,5698
1190,5363
1191,3465
1192,3159
1193,5803
1194,5598
1195,5538
1196,5292
1197,5537
1198,3619
1199,3219
1200,5429
1201,5689
1202,5427
1203,5192
1204,5007
1205,3380
1206,3581
1207,5715
1208,5920
1209,5266
1210,5387
1211,5150
1212,3831
1213,3335
1214,5455
1215,5315
1216,5362
1217,4879
1218,5354
1219,3591
1220,3267
1221,5740
1222,5369
1223,6391
1224,5500
1225,4467
1226,3848
1227,3494
1228,5918
1229,5512
1230,5324
1231,5379
1232,4985
1233,4057
1234,3122
1235,6070
1236,5629
1237,5695
1238,5268
1239,4340
1240,3389
1241,3401
1242,3608
1243,5656
1244,5919
1245,5872
1246,5426
1247,4077
1248,3549
1249,5491
1250,5766
1251,6043
1252,5524
1253,5346
1254,4390
1255,3979
1256,5639
1257,6249
1258,6106
1259,5740
1260,5572
1261,3973
1262,3770
1263,5944
1264,5947
1265,5720
1266,5570
1267,5393
1268,3894
1269,3528
1270,6025
1271,6006
1272,5692
1273,5687
1274,5535
1275,3611
1276,3137
1277,5723
1278,5700
1279,5568
1280,3192
1281,4670
1282,3390
1283,3400
1284,6122
1285,6274
1286,6004
1287,5475
1288,4983
1289,3284
1290,3425
1291,6161
1292,6399
1293,6451
1294,6299
1295,5999
1296,3829
1297,3728
1298,6127
1299,5823
1300,5655
1301,5352
1302,5398
1303,3490
1304,3095
1305,5956
1306,5511
1307,5567
1308,4856
1309,5072
1310,3315
1311,3238
1312,5880
1313,5922
1314,5282
1315,4976
1316,4704
1317,3245
1318,3122
1319,5381
1320,5600
1321,5391
1322,5313
1323,5163
1324,3790
1325,3412
1326,5368
1327,5451
1328,4929
1329,5009
1330,4926
1331,3606
1332,3282
1333,5102
1334,5116
1335,5220
1336,5184
1337,4469
1338,3163
1339,3077
1340,3123
1341,5696
1342,5210
1343,5219
1344,4711
1345,3728
1346,3449
1347,5233
1348,5305
1349,5374
1350,5342
1351,4783
1352,3136
1353,3263
1354,5316
1355,4991
